Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Designator,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
CC0805ZKY5V6BB226,Yageo,311-3444-1-ND,"RR C26, C27, C28, C29",,Cut Tape (CT),Active,4,0.3,$1.20,24 Weeks,CAP CER 22UF 10V Y5V 0805,ROHS3 Compliant,Lead free,REACH Unaffected
ECS-250-18-36B-CKY-TR,ECS Inc.,XC3051CT-ND,RR Q7,,Cut Tape (CT),Active,1,0.4,$0.40,18 Weeks,CRYSTAL 25.0000MHZ 18PF SMD,ROHS3 Compliant,Lead free,Not Available
SF-0603F200-2,Bourns Inc.,SF-0603F200-2CT-ND,"RR F1, F2",,Cut Tape (CT),Active,2,0.72,$1.44,14 Weeks,FUSE BOARD MOUNT 2A 32VDC 0603,ROHS3 Compliant,Lead free,REACH Unaffected
CRCW060330K1FKEAC,Vishay Dale,541-5345-1-ND,RR R85,,Cut Tape (CT),Active,1,0.09,$0.09,22 Weeks,RES 30.1K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
RCS060331K6FKEA,Vishay Dale,541-RCS060331K6FKEACT-ND,RR R10,,Cut Tape (CT),Active,1,0.14,$0.14,38 Weeks,RES SMD 31.6K OHM 1% 1/4W 0603,ROHS3 Compliant,Lead free,Not Available
CRCW0603330RJNEA,Vishay Dale,541-330GCT-ND,RR R97,,Cut Tape (CT),Active,1,0.1,$0.10,52 Weeks,RES SMD 330 OHM 5% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
CL05C330JB5NNNC,Samsung Electro-Mechanics,1276-1272-1-ND,"RR C65, C66",,Cut Tape (CT),Active,2,0.09,$0.18,28 Weeks,CAP CER 33PF 50V C0G/NP0 0402,ROHS3 Compliant,Lead free,REACH Unaffected
34EWMSP12M6RT,Grayhill Inc.,GH7540CT-ND,RR S2,,Cut Tape (CT),Active,1,4.84,$4.84,6 Weeks,SWITCH TOGGLE SPDT 0.4VA 20V,RoHS Compliant,Lead free,REACH Unaffected
CRCW08054K70JNEAIF,Vishay Dale,541-CRCW08054K70JNEAIFCT-ND,"RR R28, R30, R32, R40",,Cut Tape (CT),Active,4,0.56,$2.24,52 Weeks,RES SMD 4.7K OHM 5% 1/8W 0805,ROHS3 Compliant,Lead free,Not Available
CRCW06034K70JNEA,Vishay Dale,541-4.7KGCT-ND,"RR R16, R20, R21, R22, R96",,Cut Tape (CT),Active,5,0.1,$0.50,52 Weeks,RES SMD 4.7K OHM 5% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
GRM155R60G475ME47D,Murata Electronics,490-11980-1-ND,RR C62,,Cut Tape (CT),Active,1,0.14,$0.14,23 Weeks,CAP CER 4.7UF 4V X5R 0402,ROHS3 Compliant,Lead free,Not Available
CL10A475KL8NRNC,Samsung Electro-Mechanics,1276-6794-1-ND,"RR C43, C44",,Cut Tape (CT),Active,2,0.43,$0.86,28 Weeks,CAP CER 4.7UF 35V X5R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
CRCW0603470RJNEBC,Vishay Dale,541-4055-1-ND,"RR R74, R75, R98",,Cut Tape (CT),Active,3,0.09,$0.27,22 Weeks,RES 470 OHM 5% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
TMK107BJ474KAHT,Taiyo Yuden,587-3476-1-ND,RR C25,,Cut Tape (CT),Active,1,0.15,$0.15,27 Weeks,CAP CER 0.47UF 25V X5R 0603,ROHS3 Compliant,Lead free,Not Available
CRCW060347K0FKEAC,Vishay Dale,541-4021-1-ND,"RR R8, R9",,Cut Tape (CT),Active,2,0.09,$0.18,22 Weeks,RES 47K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
7447709470,Würth Elektronik,732-1246-1-ND,RR L9,,Cut Tape (CT),Active,1,2.41,$2.41,36 Weeks,FIXED IND 47UH 3.8A 60 MOHM SMD,ROHS3 Compliant,Lead free,REACH Unaffected
CRCW040249R9FKTD,Vishay Dale,541-2963-1-ND,"RR R80, R81",,Cut Tape (CT),Active,2,0.15,$0.30,40 Weeks,RES SMD 49.9 OHM 1% 1/16W 0402,RoHS non-compliant,Contains lead,Not Available
IHSM4825ER4R7L,Vishay Dale,541-1555-1-ND,"RR L1, L2",,Cut Tape (CT),Active,2,4.49,$8.98,41 Weeks,FIXED IND 4.7UH 4A 47 MOHM SMD,ROHS3 Compliant,Lead free,Not Available
TNPW06035K10BEEA,Vishay Dale,541-2035-1-ND,RR R7,,Cut Tape (CT),Active,1,0.51,$0.51,45 Weeks,RES 5.1K OHM 0.1% 1/8W 0603,ROHS3 Compliant,Lead free,Not Available
CRCW060366K5FKEB,Vishay Dale,541-CRCW060366K5FKEBCT-ND,RR R87,,Cut Tape (CT),Active,1,0.09,$0.09,52 Weeks,RES SMD 66.5K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
RC0603FR-07715KL,Yageo,311-715KHRCT-ND,RR R83,,Cut Tape (CT),Active,1,0.09,$0.09,20 Weeks,RES SMD 715K OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,REACH Unaffected
RCA060375R0FKEA,Vishay Dale,541-2196-1-ND,"RR R73, R76",,Cut Tape (CT),Active,2,0.09,$0.18,52 Weeks,RES SMD 75 OHM 1% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
ARJM11C7-114-BA-EW2,Abracon LLC,535-14168-ND,RR J12,,Tray,Active,1,2.97,$2.97,18 Weeks,CONN JACK 1PORT 100 BASE-T PCB,RoHS Compliant,Lead free,REACH Affected
DM3D-SF,Hirose Electric Co Ltd,HR1941CT-ND,RR J6,,Cut Tape (CT),Active,1,1.49,$1.49,12 Weeks,CONN MICRO SD CARD PUSH-PULL,RoHS Compliant,Lead free,Not Available
XZVG53W-8,SunLED,1497-1215-1-ND,"RR D3, D5, D7",,Cut Tape (CT),Active,3,0.35,$1.05,8 Weeks,LED GREEN CLEAR CHIP SMD,ROHS3 Compliant,Lead free,REACH Unaffected
TLF50211ELXUMA2,Infineon Technologies,TLF50211ELXUMA2CT-ND,RR U11,,Cut Tape (CT),Active,1,1.97,$1.97,43 Weeks,IC REG DC/DC CONVERTER,ROHS3 Compliant,Lead free,REACH Unaffected
B2B-XH-A(LF)(SN),JST Sales America Inc.,455-2247-ND,RR X1,,Bulk,Active,1,0.14,$0.14,24 Weeks,CONN HEADER VERT 2POS 2.5MM,ROHS3 Compliant,Lead free,REACH Unaffected
LAN9513-JZX,Microchip Technology,LAN9513-JZX-ND,RR U3,,Tray,Active,1,5.34,$5.34,52 Weeks,IC USB 2.0 ETHER CTRLR 64QFN,ROHS3 Compliant,Lead free,REACH Unaffected
LM26420XMH/NOPB,Texas Instruments,296-LM26420XMH/NOPB-ND,RR U1,,Tube,Active,1,4.05,$4.05,6 Weeks,IC REG BUCK ADJ 2A DL 20HTSSOP,ROHS3 Compliant,Lead free,REACH Unaffected
SMD26PL-TP,Micro Commercial Co,SMD26PL-TPMSCT-ND,RR D10,,Cut Tape (CT),Active,1,0.45,$0.45,24 Weeks,DIODE SCHOTTKY 60V 2A SOD123FL,ROHS3 Compliant,Lead free,REACH Unaffected
CM3+/16GB,Raspberry Pi,1690-1031-ND,RR J2,,Bulk,Active,1,35,$35.00,52 Weeks,RASPBERRY PI COMPUTE 3+ 16GB,Not Available,Not Available,Not Available
SP3003-02XTG,Littelfuse Inc.,F3302CT-ND,"RR U8, U9",,Cut Tape (CT),Active,2,0.94,$1.88,20 Weeks,TVS DIODE 6V 15V SOT553,ROHS3 Compliant,Lead free,Not Available
TPS26602PWPT,Texas Instruments,296-44811-1-ND,RR U12,,Cut Tape (CT),Active,1,2.59,$2.59,6 Weeks,IC PWR MGMT EFUSE 60V 16HTSSOP,ROHS3 Compliant,Lead free,REACH Unaffected
USBR-A-D-F-O-TH,Samtec Inc.,SAM10376-ND,RR J1,,Tray,Active,1,1.61,$1.61,8 Weeks,CONN RCPT USB2.0 TYPEA 8POS R/A,ROHS3 Compliant,Lead free,REACH Unaffected
