Part	Value	Device	Package	Description	FUNCTION	PINS	POPULARITY	Vendor Part Number	description	Unit Quantity	Price
R19	1.2K	RESISTOR0603-RES	0603-RES	Resistor				118-CR0603-JW-122ELFCT-ND	RES SMD 1.2K OHM 5% 1/10W 0603	1	0.1
R20	220Ω	R-US_R0603	R0603	"RESISTOR, American symbol"				118-CR0603-FX-2200ELFCT-ND	RES SMD 220 OHM 1% 1/10W 0603	1	0.1
R24	330Ω	R-US_R0603	R0603	"RESISTOR, American symbol"				CR0603-FX-3300ELFCT-ND	RES SMD 330 OHM 1% 1/10W 0603	1	0.1
R26	330Ω	R-US_R0603	R0603	"RESISTOR, American symbol"				CR0603-FX-3300ELFCT-ND	RES SMD 330 OHM 1% 1/10W 0603	1	0.1
R27	330Ω	R-US_R0603	R0603	"RESISTOR, American symbol"				CR0603-FX-3300ELFCT-ND	RES SMD 330 OHM 1% 1/10W 0603	1	0.1
S1	KMR2	KMR2	KMR2		RST						
SPI_3.3V		MTA06-100	10X06MTA	AMP connector			0				
SPI_5V		MTA06-100	10X06MTA	AMP connector			0				
U$2	ETH-POE	ETH-POE	HDRVR10W64P4000X254_2X5_1016X508X254B	POE							
U$4	DPDT_SLIDE_SWITCH	DPDT_SLIDE_SWITCH	DPDT_SLIDE_SWITCH								
U1	ATMEGA32U4-AU	ATMEGA32U4-AU	TQFP44	http://www.ladyada.net/library/eagle				ATMEGA32U4-AURCT-ND	IC MCU 8BIT 32KB FLASH 44TQFP	1	4.71
UART		MTA04-100	10X04MTA	AMP connector			1				
X1	TSX-3225 16.0000MF18X-AC0 	XTAL-3.2X2.5	XTAL-3.2X2.5								
